xflr5 v6.59

S1223
T1-111.0 m/s-VLM1
QInf  =,  111.000000 ,m/s
Alpha = ,   5.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.406877
Cy    = ,   0.000000
Cd=,   0.107068,ICd=,    0.090354,PCd=,    0.016714
Cl   = ,-2.27309e-16
Cm   =,   -0.705696
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    2.236131, YCP=,    0.000000, ZCP=,    0.300218 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000
  -14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5499
  -14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8168
  -13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8532
  -12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3905
  -12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0882
  -11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6148
   -9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7277
   -8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7921
   -7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4710
   -6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5367
   -5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6654
   -3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4957
   -2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1374
   -2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8677
   -1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2390
   -0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.5702
   -0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.0684
   -0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.7334
    0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.8866
    0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.1853
    0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.6536
    1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2928
    2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8969
    2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1473
    3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4917
    5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6523
    6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5189
    7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4518
    8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7741
    9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7123
   11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6028
   12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0797
   12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3851
   13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8503
   14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8156
   14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5496
   14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  52,   3.264e+00,  -1.300e+01,   8.676e-03,       0.585,      -0.113,       0.803,   4.973e-02,      1.0046
  53,   3.193e+00,  -1.300e+01,   5.127e-02,       0.426,      -0.083,       0.901,   1.304e-01,      1.2773
  54,   3.032e+00,  -1.300e+01,   1.175e-01,       0.283,      -0.057,       0.958,   1.965e-01,      1.3530
  55,   2.790e+00,  -1.300e+01,   1.810e-01,       0.184,      -0.041,       0.982,   2.525e-01,      1.3288
  56,   2.481e+00,  -1.300e+01,   2.326e-01,       0.113,      -0.030,       0.993,   2.953e-01,      1.2836
  57,   2.123e+00,  -1.300e+01,   2.681e-01,       0.059,      -0.023,       0.998,   3.223e-01,      1.2628
  58,   1.736e+00,  -1.300e+01,   2.862e-01,       0.010,      -0.018,       1.000,   3.313e-01,      1.2755
  59,   1.345e+00,  -1.300e+01,   2.853e-01,      -0.041,      -0.013,       0.999,   3.219e-01,      1.3308
  60,   9.696e-01,  -1.300e+01,   2.632e-01,      -0.115,      -0.009,       0.993,   2.953e-01,      1.3323
  61,   6.335e-01,  -1.300e+01,   2.173e-01,      -0.205,      -0.005,       0.979,   2.533e-01,      1.2103
  62,   3.558e-01,  -1.300e+01,   1.546e-01,      -0.280,      -0.003,       0.960,   1.960e-01,      1.1404
  63,   1.526e-01,  -1.300e+01,   9.008e-02,      -0.404,      -0.001,       0.915,   1.284e-01,      0.9575
  64,   3.569e-02,  -1.300e+01,   3.164e-02,      -0.712,       0.000,       0.703,   5.683e-02,     -0.8578
Strip 6
  65,   3.438e+00,  -1.209e+01,   9.139e-03,       0.585,      -0.113,       0.803,   6.104e-02,      1.0003
  66,   3.363e+00,  -1.209e+01,   5.401e-02,       0.426,      -0.083,       0.901,   1.600e-01,      1.2806
  67,   3.194e+00,  -1.209e+01,   1.238e-01,       0.283,      -0.057,       0.958,   2.412e-01,      1.3707
  68,   2.939e+00,  -1.209e+01,   1.907e-01,       0.184,      -0.041,       0.982,   3.099e-01,      1.3635
  69,   2.613e+00,  -1.209e+01,   2.450e-01,       0.113,      -0.030,       0.993,   3.625e-01,      1.3347
  70,   2.236e+00,  -1.209e+01,   2.824e-01,       0.059,      -0.023,       0.998,   3.955e-01,      1.3279
  71,   1.829e+00,  -1.209e+01,   3.015e-01,       0.010,      -0.018,       1.000,   4.066e-01,      1.3516
  72,   1.416e+00,  -1.209e+01,   3.005e-01,      -0.041,      -0.013,       0.999,   3.951e-01,      1.4152
  73,   1.021e+00,  -1.209e+01,   2.773e-01,      -0.115,      -0.009,       0.993,   3.624e-01,      1.4245
  74,   6.674e-01,  -1.209e+01,   2.289e-01,      -0.205,      -0.005,       0.979,   3.109e-01,      1.3130
  75,   3.748e-01,  -1.209e+01,   1.628e-01,      -0.280,      -0.003,       0.960,   2.406e-01,      1.2648
  76,   1.607e-01,  -1.209e+01,   9.489e-02,      -0.404,      -0.001,       0.915,   1.576e-01,      1.1326
  77,   3.760e-02,  -1.209e+01,   3.333e-02,      -0.712,       0.000,       0.703,   6.975e-02,     -0.5578
Strip 7
  78,   3.636e+00,  -1.106e+01,   9.666e-03,       0.585,      -0.113,       0.803,   7.195e-02,      0.9989
  79,   3.558e+00,  -1.106e+01,   5.712e-02,       0.426,      -0.083,       0.901,   1.887e-01,      1.2842
  80,   3.378e+00,  -1.106e+01,   1.309e-01,       0.283,      -0.057,       0.958,   2.843e-01,      1.3831
  81,   3.108e+00,  -1.106e+01,   2.017e-01,       0.184,      -0.041,       0.982,   3.653e-01,      1.3856
  82,   2.764e+00,  -1.106e+01,   2.591e-01,       0.113,      -0.030,       0.993,   4.273e-01,      1.3660
  83,   2.365e+00,  -1.106e+01,   2.987e-01,       0.059,      -0.023,       0.998,   4.663e-01,      1.3676
  84,   1.935e+00,  -1.106e+01,   3.189e-01,       0.010,      -0.018,       1.000,   4.793e-01,      1.3984
  85,   1.498e+00,  -1.106e+01,   3.179e-01,      -0.041,      -0.013,       0.999,   4.658e-01,      1.4686
  86,   1.080e+00,  -1.106e+01,   2.933e-01,      -0.115,      -0.009,       0.993,   4.272e-01,      1.4846
  87,   7.059e-01,  -1.106e+01,   2.421e-01,      -0.205,      -0.005,       0.979,   3.665e-01,      1.3822
  88,   3.964e-01,  -1.106e+01,   1.722e-01,      -0.280,      -0.003,       0.960,   2.836e-01,      1.3506
  89,   1.700e-01,  -1.106e+01,   1.004e-01,      -0.404,      -0.001,       0.915,   1.858e-01,      1.2552
  90,   3.977e-02,  -1.106e+01,   3.525e-02,      -0.712,       0.000,       0.703,   8.222e-02,     -0.3471
Strip 8
  91,   3.853e+00,  -9.927e+00,   1.024e-02,       0.585,      -0.113,       0.803,   8.200e-02,      0.9983
  92,   3.770e+00,  -9.927e+00,   6.053e-02,       0.426,      -0.083,       0.901,   2.150e-01,      1.2868
  93,   3.580e+00,  -9.927e+00,   1.388e-01,       0.283,      -0.057,       0.958,   3.240e-01,      1.3907
  94,   3.294e+00,  -9.927e+00,   2.138e-01,       0.184,      -0.041,       0.982,   4.163e-01,      1.3987
  95,   2.929e+00,  -9.927e+00,   2.746e-01,       0.113,      -0.030,       0.993,   4.869e-01,      1.3844
  96,   2.506e+00,  -9.927e+00,   3.166e-01,       0.059,      -0.023,       0.998,   5.313e-01,      1.3908
  97,   2.050e+00,  -9.927e+00,   3.379e-01,       0.010,      -0.018,       1.000,   5.463e-01,      1.4260
  98,   1.587e+00,  -9.927e+00,   3.368e-01,      -0.041,      -0.013,       0.999,   5.308e-01,      1.5005
  99,   1.145e+00,  -9.927e+00,   3.108e-01,      -0.115,      -0.009,       0.993,   4.869e-01,      1.5212
 100,   7.480e-01,  -9.927e+00,   2.566e-01,      -0.205,      -0.005,       0.979,   4.177e-01,      1.4248
 101,   4.201e-01,  -9.927e+00,   1.825e-01,      -0.280,      -0.003,       0.960,   3.232e-01,      1.4042
 102,   1.802e-01,  -9.927e+00,   1.064e-01,      -0.404,      -0.001,       0.915,   2.117e-01,      1.3324
 103,   4.214e-02,  -9.927e+00,   3.735e-02,      -0.712,       0.000,       0.703,   9.370e-02,     -0.2143
Strip 9
 104,   4.083e+00,  -8.730e+00,   1.085e-02,       0.585,      -0.113,       0.803,   9.061e-02,      0.9980
 105,   3.995e+00,  -8.730e+00,   6.414e-02,       0.426,      -0.083,       0.901,   2.376e-01,      1.2882
 106,   3.793e+00,  -8.730e+00,   1.470e-01,       0.283,      -0.057,       0.958,   3.580e-01,      1.3948
 107,   3.490e+00,  -8.730e+00,   2.265e-01,       0.184,      -0.041,       0.982,   4.600e-01,      1.4055
 108,   3.104e+00,  -8.730e+00,   2.910e-01,       0.113,      -0.030,       0.993,   5.381e-01,      1.3939
 109,   2.656e+00,  -8.730e+00,   3.354e-01,       0.059,      -0.023,       0.998,   5.872e-01,      1.4029
 110,   2.172e+00,  -8.730e+00,   3.580e-01,       0.010,      -0.018,       1.000,   6.036e-01,      1.4406
 111,   1.682e+00,  -8.730e+00,   3.569e-01,      -0.041,      -0.013,       0.999,   5.865e-01,      1.5174
 112,   1.213e+00,  -8.730e+00,   3.293e-01,      -0.115,      -0.009,       0.993,   5.380e-01,      1.5407
 113,   7.926e-01,  -8.730e+00,   2.719e-01,      -0.205,      -0.005,       0.979,   4.615e-01,      1.4477
 114,   4.451e-01,  -8.730e+00,   1.934e-01,      -0.280,      -0.003,       0.960,   3.571e-01,      1.4330
 115,   1.909e-01,  -8.730e+00,   1.127e-01,      -0.404,      -0.001,       0.915,   2.340e-01,      1.3739
 116,   4.465e-02,  -8.730e+00,   3.958e-02,      -0.712,       0.000,       0.703,   1.035e-01,     -0.1428
Strip 10
 117,   4.319e+00,  -7.500e+00,   1.148e-02,       0.585,      -0.113,       0.803,   9.718e-02,      0.9977
 118,   4.226e+00,  -7.500e+00,   6.785e-02,       0.426,      -0.083,       0.901,   2.548e-01,      1.2886
 119,   4.013e+00,  -7.500e+00,   1.555e-01,       0.283,      -0.057,       0.958,   3.840e-01,      1.3961
 120,   3.692e+00,  -7.500e+00,   2.396e-01,       0.184,      -0.041,       0.982,   4.933e-01,      1.4078
 121,   3.283e+00,  -7.500e+00,   3.078e-01,       0.113,      -0.030,       0.993,   5.771e-01,      1.3973
 122,   2.809e+00,  -7.500e+00,   3.548e-01,       0.059,      -0.023,       0.998,   6.297e-01,      1.4074
 123,   2.298e+00,  -7.500e+00,   3.787e-01,       0.010,      -0.018,       1.000,   6.474e-01,      1.4461
 124,   1.779e+00,  -7.500e+00,   3.776e-01,      -0.041,      -0.013,       0.999,   6.290e-01,      1.5239
 125,   1.283e+00,  -7.500e+00,   3.484e-01,      -0.115,      -0.009,       0.993,   5.770e-01,      1.5481
 126,   8.384e-01,  -7.500e+00,   2.876e-01,      -0.205,      -0.005,       0.979,   4.950e-01,      1.4563
 127,   4.709e-01,  -7.500e+00,   2.046e-01,      -0.280,      -0.003,       0.960,   3.830e-01,      1.4437
 128,   2.020e-01,  -7.500e+00,   1.192e-01,      -0.404,      -0.001,       0.915,   2.509e-01,      1.3889
 129,   4.724e-02,  -7.500e+00,   4.187e-02,      -0.712,       0.000,       0.703,   1.111e-01,     -0.1168
Strip 11
 130,   4.555e+00,  -6.270e+00,   1.211e-02,       0.585,      -0.113,       0.803,   1.011e-01,      0.9974
